id,description,latitude,longitude,name,categories,prefecture,address
190,,38.08099365,23.70381355,ΚΕΠ ΑΝΩ ΛΙΟΣΙΩΝ,24,51,ΑΝΩ ΛΙΟΣΙΑ
290,,37.75252914,26.98056984,Υ.Δ.Ε. Ν.Α. ΣΑΜΟΥ,46,30,ΜΥΚΑΛΗΣ 54
305,,35.31076431,23.79837036,ΔΗΜΟΣ ΑΝΑΤ. ΣΕΛΙΝΟΥ,13,48,ΚΑΜΠΑΝΟΣ ΧΑΝΙΩΝ
423,,39.71889496,22.7554245,ΔΗΜΟΣ ΑΓΙΑΣ,13,9,ΔΗΜΟΣ ΑΓΙΑΣ (40003 Αγιά)
460,,39.52277374,22.65336418,ΔΗΜΟΣ ΑΡΜΕΝΙΟΥ,13,9,ΑΡΜΕΝΙΟ 41500 ΛΑΡΙΣΑ
727,,39.12197113,23.72555733,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,13,37,ΣΚΟΠΕΛΟΣ 37003
1051,,37.50191116,21.87812424,ΔΗΜΟΣ ΑΝΔΡΙΤΣΑΙΝΗΣ,13,28,ΔΗΜΑΡΧΕΙΟ ΑΝΔΡΙΤΣΑΙΝΑΣ
1140,,39.56145859,20.78972816,ΔΗΜΟΣ ΔΩΔΩΝΗΣ,13,17,ΔΩΔΩΝΗ 45500
1319,,37.93755341,21.67998314,ΔΗΜΟΣ ΤΡΙΤΑΙΑΣ,13,49,"ΣΤΑΥΡΟΔΡΟΜΙ Ν. ΑΧΑΪΑΣ, 25015"
1358,,39.1558075,20.98009682,ΚΕΠ Αρταίων,24,31,"ΠΕΡΙΦΕΡΕΙΑΚΗ ΟΔΟΣ 37, ΑΡΤΑ"
6,,37.99731445,23.78198433,ΓΕΕΘΑ/ΔΣΛ/4,56,51,"ΣΤΡΔΟ ΠΑΠΑΓΟΥ ΑΘΗΝΩΝ, ΜΕΣΟΓΕΙΩΝ  227-23"
1774,,37.50087357,23.45445251,ΤΕΛΩΝΕΙΟ ΠΟΡΟΥ,38,51,ΠΟΡΟΣ
1867,,35.51346207,24.02103996,Α' Δ.Ο.Υ. ΧΑΝΙΩΝ,26,48,ΤΖΑΝΑΚΑΚΗ 3 ΧΑΝΙΑ
7,,37.98748779,23.76223755,ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΑΘΛΗΤΙΣΜΟΥ,27,51,"ΚΗΦΙΣΙΑΣ 7, 11523 ΑΘΗΝΑ"
8,,37.97949219,23.73362541,ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΔΗΜΟΣΙΟΝΟΜΙΚΗΣ ΠΟΛΙΤΙΚΗΣ,27,51,"ΠΑΝΕΠΙΣΤΗΜΙΟΥ 25, 10165 ΑΘΗΝΑ"
9,,37.97917938,23.71664619,ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΕΜΠΟΡΙΟΥ - ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΚΑΤΑΝΑΛΩΤΗ,27,51,"ΠΛ. ΚΑΝΙΓΓΟΣ, 10181 ΑΘΗΝΑ"
2177,,38.37080765,26.13723946,Υ.Δ.Ε. Ν.Α. ΧΙΟΥ,46,19,"ΠΟΛΥΧΡΟΝΟΠΟΥΛΟΥ 6, ΧΙΟΣ"
2183,,39.47153473,22.07608795,Δ.Ο.Υ. ΠΑΛΑΜΑ,26,33,"Γρ. Λαμπράκη 34, ΠΑΛΑΜΑΣ"
10,,37.95090103,23.64110374,ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΕΣΥΕ,27,51,ΠΕΙΡΑΙΩΣ 46 & ΕΠΟΝΙΤΩΝ 18510 ΠΕΙΡΑΙΑΣ
11,,37.97943878,23.7305336,ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ,27,51,"ΔΡΑΓΑΤΣΑΝΙΟΥ 8, ΤΚ 10559 ΑΘΗΝΑ"
3705,,37.71088028,21.71991539,ΚΕΠ ΔΗΜΟΥ ΦΟΛΟΗΣ Ν. ΗΛΕΙΑΣ,24,28,ΛΑΛΑΣ ΤΚ 27066
3879,,40.01422882,20.55905914,Α.Τ. ΒΡΥΣΩΝ ΧΑΝΙΩΝ,3,48,ΒΡΥΣΕΣ ΑΠΟΚ.ΧΑΝΙΩΝ ΤΚ 73007
3953,,38.62208939,20.93097115,ΚΟΙΝΟΤΗΤΑ ΚΑΛΑΜΟΥ,22,50,"ΚΑΛΑΜΟΣ, Τ.Κ. 31081"
12,,37.98051071,23.73118401,ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΚΟΙΝΩΝΙΚΩΝ ΑΣΦΑΛΙΣΕΩΝ,27,51,"ΣΤΑΔΙΟΥ 29,10110 ΑΘΗΝΑ"
4289,,37.96525955,23.69786644,3ο ΤΕΕ ΤΑΥΡΟΥ,59,51,ΕΣΤΑΥΡΩΜΕΝΟΥ
13,,37.95552063,23.7020359,ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ,27,51,"ΧΑΝΔΡΗ  1 & ΘΕΣΣΑΛΟΝΙΚΗΣ 18346,ΑΘΗΝΑ"
5491,,38.36564255,26.13852119,ΙΕΚ ΜΕΓΑΡΩΝ,39,51,ΜΟΥΣΕΙΟΥ
6007,,40.67051697,22.93336296,Λ/Χ Πόρου,53,51,Δημοτική Αγορά Πόρου ΤΚ18020
6566,,39.7539978,20.64909744,ΝΗΠΙΑΓΩΓΕΙΟ ΖΙΤΣΗΣ,60,17,ΖΙΤΣΑ
14,,37.97574234,23.7398243,ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ,27,51,"ΒΑΣ. ΣΟΦΙΑΣ  15, 10674"
7294,,39.63547134,22.41104317,5ο ΝΗΠΙΑΓΩΓΕΙΟ ΛΑΡΙΣΑΣ,60,9,ΛΑΠΠΑ
7551,,39.59962082,20.31023979,ΓΥΜΝΑΣΙΟ ΦΙΛΙΑΤΩΝ,52,22,ΦΙΛΙΑΤΕΣ
7673,,38.02209473,23.6998558,4ο ΝΗΠΙΑΓΩΓΕΙΟ ΙΛΙΟΥ,60,51,ΠΟΛΥΤΕΚΝΩΝ
8434,,36.60779572,27.84018326,ΤΕΕ ΣΥΜΗΣ,59,18,ΣΥΜΗ
7813,,37.99014282,23.34770966,2ο ΓΥΜΝΑΣΙΟ ΜΕΓΑΡΩΝ,52,51,ΜΟΥΣΕΙΟΥ
7919,,38.37580872,23.1106739,1ο ΤΕΕ ΑΛΙΑΡΤΟΥ,59,8,ΛΕΩΦΟΡΟΣ ΔΗΜΟΚΡΑΤΙΑΣ
8327,,38.04244995,23.69344711,10ο ΓΥΜΝΑΣΙΟ ΙΛΙΟΥ,52,51,ΖΑΓΟΡΙΟΥ
8028,,37.95528412,23.6462841,17ο ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΙΡΑΙΑ,60,51,ΠΟΡΟΥ
8641,,36.89264297,27.29302216,8ο ΝΗΠΙΑΓΩΓΕΙΟ ΚΩ,60,18,ΚΟΡΑΗ
8902,,39.64417267,22.418396,16ο ΝΗΠΙΑΓΩΓΕΙΟ ΛΑΡΙΣΑΣ,60,9,ΜΥΡΩΝ
15,,37.98545837,23.76194,ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΕΡΕΥΝΑΣ & ΤΕΧΝΟΛΟΓΙΑΣ,27,51,"ΜΕΣΟΓΕΙΩΝ 14-18 ΑΘΗΝΑ,  115 10"
10265,,39.0815506,20.86459732,ΝΗΠΙΑΓΩΓΕΙΟ ΒΙΓΛΑΣ,60,31,ΒΙΓΛΑ
