id,name
1,prefeture
2,ΔΡΑΜΑΣ
3,ΡΕΘΥΜΝΟΥ
4,ΖΑΚΥΝΘΟΥ
5,ΠΕΛΛΑΣ
6,ΕΥΒΟΙΑΣ
7,ΞΑΝΘΗΣ
8,ΒΟΙΩΤΙΑΣ
9,ΛΑΡΙΣΑΣ
10,ΓΡΕΒΕΝΩΝ
11,ΗΜΑΘΙΑΣ
12,ΛΑΚΩΝΙΑΣ
13,ΚΑΒΑΛΑΣ
14,ΚΙΛΚΙΣ
15,ΡΟΔΟΠΗΣ
16,ΤΡΙΚΑΛΩΝ
17,ΙΩΑΝΝΙΝΩΝ
18,ΔΩΔΕΚΑΝΗΣΟΥ
19,ΧΙΟΥ
20,ΧΑΛΚΙΔΙΚΗΣ
21,ΠΡΕΒΕΖΑΣ
22,ΘΕΣΠΡΩΤΙΑΣ
23,ΦΛΩΡΙΝΑΣ
24,ΛΑΣΙΘΙΟΥ
25,ΕΒΡΟΥ
26,ΛΕΣΒΟΥ
27,ΘΕΣΣΑΛΟΝΙΚΗΣ
28,ΗΛΕΙΑΣ
29,ΕΥΡΥΤΑΝΙΑΣ
30,ΣΑΜΟΥ
31,ΑΡΤΑΣ
32,ΜΕΣΣΗΝΙΑΣ
33,ΚΑΡΔΙΤΣΑΣ
34,ΦΩΚΙΔΑΣ
35,ΑΡΓΟΛΙΔΟΣ
36,ΠΙΕΡΙΑΣ
37,ΜΑΓΝΗΣΙΑΣ
38,ΚΕΡΚΥΡΑΣ
39,ΦΘΙΩΤΙΔΑΣ
40,ΚΟΡΙΝΘΙΑΣ
41,ΚΑΣΤΟΡΙΑΣ
42,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
43,ΗΡΑΚΛΕΙΟΥ
44,ΚΥΚΛΑΔΩΝ
45,ΣΕΡΡΩΝ
46,ΑΡΚΑΔΙΑΣ
47,ΚΕΦΑΛΛΗΝΙΑΣ
48,ΧΑΝΙΩΝ
49,ΑΧΑΪΑΣ
50,ΛΕΥΚΑΔΑΣ
51,ΑΤΤΙΚΗΣ
52,ΚΟΖΑΝΗΣ
